category,urgency,targetPrice,price,approved
optional,medium,2720,2895,true
basic,high,2590,3055,true
basic,low,270,591,false
optional,high,1570,1843,true
optional,medium,2450,2456,true
basic,high,3190,3361,true
basic,high,2440,2893,true
basic,medium,2770,2952,true
optional,high,2860,2996,true
optional,high,1090,1224,true
optional,low,2300,2375,true
basic,medium,1580,1902,false
basic,medium,530,836,false
basic,low,2760,2940,true
optional,medium,640,824,false
basic,low,2390,2419,true
optional,low,1360,1595,false
optional,high,940,1411,false
basic,high,2860,2911,true
optional,low,3130,3599,false
optional,low,500,734,false
basic,low,1320,1453,true
optional,low,2020,2251,false
basic,high,3160,3304,true
basic,high,690,965,false
basic,low,1080,1255,false
optional,high,3430,3916,true
optional,high,1810,2283,false
optional,medium,2320,2428,true
basic,medium,450,886,false
basic,low,2530,2582,true
basic,medium,260,648,false
basic,medium,2400,2620,true
optional,low,1080,1401,false
optional,high,1840,1852,true
basic,medium,2610,2917,true
basic,high,240,493,false
optional,low,1410,1660,false
basic,medium,1620,1863,true
optional,low,2210,2672,false
basic,high,860,1139,false
basic,medium,2480,2650,true
optional,medium,2000,2280,false
basic,medium,2390,2584,true
basic,low,2250,2279,true
basic,high,2990,3039,true
basic,high,2630,2790,true
basic,low,740,794,true
optional,high,2790,3228,true
basic,high,3390,3484,true
optional,medium,1850,2213,false
optional,high,2770,2778,true
basic,high,3290,3786,true
optional,medium,3030,3411,false
optional,high,1510,1748,true
basic,low,3360,3765,true
basic,high,2390,2755,true
optional,low,1320,1744,false
optional,high,360,450,false
basic,medium,2830,3213,true
optional,low,1990,2113,true
basic,medium,470,928,false
basic,low,3110,3565,true
optional,medium,1220,1317,true
basic,high,160,188,true
basic,medium,540,566,true
optional,medium,3140,3328,true
optional,medium,670,904,false
optional,high,2740,3076,true
basic,low,2330,2611,true
optional,medium,3240,3417,true
basic,low,2160,2482,true
basic,medium,2040,2226,true
basic,high,2470,2601,true
basic,low,890,1265,false
optional,medium,2630,3035,false
basic,high,330,678,false
optional,medium,700,730,true
basic,medium,2190,2599,false
basic,medium,1690,1944,true
basic,medium,870,962,true
optional,medium,2980,3476,false
optional,medium,440,673,false
basic,medium,290,779,false
optional,low,1990,2395,false
basic,low,790,860,true
basic,low,770,894,false
optional,high,970,1458,false
basic,medium,1390,1576,true
optional,low,630,678,true
basic,medium,960,1380,false
basic,medium,3320,3663,true
optional,high,2360,2562,true
optional,high,2440,2652,true
basic,high,1590,1974,true
basic,high,1800,2292,false
optional,high,2440,2642,true
basic,medium,1070,1216,true
basic,medium,1280,1708,false
basic,low,3240,3486,true
optional,low,2600,2981,false
basic,medium,3060,3339,true
basic,low,600,796,false
optional,medium,110,411,false
basic,low,590,741,false
optional,low,3350,3639,true
basic,low,0,129,false
basic,low,2750,2760,true
basic,medium,2430,2832,true
optional,medium,250,351,false
optional,medium,1410,1706,false
optional,low,2820,3151,false
basic,high,2020,2235,true
optional,low,1060,1354,false
basic,medium,1160,1268,true
basic,medium,2580,2636,true
basic,high,3170,3378,true
basic,high,2980,2991,true
basic,high,1440,1610,true
optional,medium,3020,3310,true
optional,high,3250,3263,true
basic,high,1340,1552,true
optional,high,3250,3595,true
optional,medium,3300,3634,true
basic,high,920,1027,true
optional,medium,2690,2763,true
basic,low,1940,2085,true
optional,high,2530,3010,false
optional,low,740,1070,false
basic,medium,3350,3835,true
optional,high,1600,1874,true
optional,low,2020,2123,true
optional,low,2680,2774,true
optional,high,1330,1339,true
optional,medium,1360,1851,false
basic,low,3320,3655,true
basic,low,1840,2245,false
optional,medium,960,1377,false
basic,low,1610,1742,true
basic,medium,840,1126,false
optional,low,2950,3138,true
basic,low,140,466,false
optional,low,2570,2948,false
optional,medium,2590,2605,true
optional,medium,710,1130,false
basic,medium,330,346,true
basic,high,3350,3403,true
basic,low,3450,3819,true
basic,high,3410,3599,true
basic,low,180,277,false
optional,low,2580,2839,false
basic,high,1450,1893,false
optional,medium,460,613,false
basic,high,1030,1357,false
optional,medium,3030,3116,true
basic,medium,3200,3578,true
basic,medium,3000,3176,true
optional,low,1380,1416,true
basic,low,2300,2435,true
optional,medium,2580,3079,false
optional,medium,1250,1297,true
optional,high,2090,2137,true
optional,high,3120,3252,true
basic,high,2270,2514,true
basic,medium,1220,1244,true
optional,low,1990,2046,true
basic,high,580,943,false
optional,low,2820,3088,true
optional,low,750,995,false
basic,low,3090,3115,true
optional,medium,2430,2871,false
optional,medium,920,1191,false
optional,high,1400,1471,true
basic,low,1030,1137,true
optional,medium,2330,2484,true
basic,medium,1410,1501,true
optional,medium,3170,3376,true
basic,medium,1070,1254,true
optional,high,2780,3002,true
basic,low,130,363,false
optional,medium,2880,2905,true
basic,high,1970,2442,true
optional,medium,2020,2507,false
basic,high,1330,1399,true
optional,medium,1550,1949,false
optional,medium,1680,1885,false
optional,high,2910,3377,true
optional,low,370,598,false
optional,medium,1370,1581,false
optional,medium,180,630,false
basic,high,960,1407,false
optional,high,3440,3772,true
optional,medium,2200,2357,true
basic,medium,3410,3572,true
optional,high,340,711,false
basic,high,300,430,false
optional,low,3240,3496,true
basic,high,2840,3336,true
basic,low,3150,3247,true
optional,low,3010,3140,true
optional,medium,350,792,false
basic,low,1860,2104,true
basic,medium,750,776,true
basic,medium,2710,3118,true
optional,low,2360,2816,false
basic,low,3350,3805,true
basic,high,930,1108,true
basic,high,3400,3412,true
basic,medium,1960,2197,true
basic,low,180,502,false
optional,low,2480,2879,false
optional,high,260,269,true
optional,high,1590,1995,false
basic,low,170,238,false
optional,low,2310,2579,false
optional,high,2120,2353,true
optional,medium,1560,1690,true
basic,low,300,432,false
optional,low,400,809,false
optional,medium,2780,3020,true
optional,high,1690,1888,true
basic,medium,2650,2801,true
optional,low,1540,1793,false
basic,medium,1730,1845,true
basic,low,2010,2303,true
optional,medium,1410,1796,false
basic,medium,2920,3244,true
basic,medium,850,867,true
optional,medium,3300,3716,false
optional,low,2960,3209,true
optional,medium,1070,1105,true
optional,low,580,845,false
basic,low,560,1015,false
optional,high,980,1043,true
basic,medium,1650,2147,false
optional,high,2860,3259,true
optional,medium,700,826,false
basic,medium,2370,2619,true
optional,low,3200,3659,false
optional,medium,3430,3660,true
basic,low,380,789,false
optional,low,630,921,false
basic,medium,380,698,false
basic,low,1670,1905,true
optional,high,2280,2479,true
optional,high,2010,2148,true
basic,low,480,802,false
basic,low,2300,2703,false
basic,low,2550,2656,true
basic,low,2480,2683,true
basic,medium,3050,3529,true
basic,low,2010,2306,true
optional,low,1080,1323,false
optional,high,660,1042,false
optional,low,1530,1782,false
optional,high,2740,2971,true
basic,medium,120,315,false
basic,medium,1440,1926,false
optional,medium,1740,1761,true
optional,medium,3020,3056,true
optional,medium,2240,2447,true
basic,medium,1240,1411,true
optional,low,3480,3815,true
basic,high,1180,1224,true
optional,high,3410,3726,true
optional,medium,2980,3250,true
optional,medium,1860,2107,false
basic,high,2760,3199,true
basic,high,2660,2692,true
basic,high,2380,2504,true
optional,high,640,743,true
basic,high,2130,2454,true
optional,low,530,925,false
optional,medium,420,533,false
optional,low,2640,2872,true
basic,low,1960,1984,true
basic,low,1950,2388,false
basic,low,2260,2521,true
basic,low,160,437,false
optional,medium,670,781,false
optional,high,3060,3446,true
optional,medium,340,451,false
basic,low,3120,3170,true
basic,low,2190,2288,true
optional,high,440,795,false
optional,medium,900,1350,false
basic,medium,2640,3017,true
basic,high,3200,3385,true
basic,high,1350,1803,false
optional,medium,2450,2900,false
basic,low,500,799,false
basic,low,880,1044,false
basic,medium,2790,2845,true
optional,low,160,279,false
basic,high,2160,2555,true
basic,low,1440,1632,true
optional,medium,3130,3210,true
optional,medium,3450,3944,false
optional,low,1710,1779,true
basic,medium,3220,3513,true
optional,low,1710,1908,false
optional,high,670,995,false
optional,medium,1260,1578,false
optional,medium,2290,2603,false
basic,medium,2620,3071,true
basic,medium,3170,3459,true
optional,low,1510,1949,false
optional,medium,220,676,false
optional,medium,780,1132,false
basic,high,1930,2370,true
optional,high,1360,1722,false
optional,high,100,438,false
optional,medium,1770,1838,true
basic,low,1860,2271,false
optional,low,230,516,false
optional,low,1990,2257,false
optional,medium,40,234,false
basic,medium,2690,2762,true
optional,medium,440,698,false
basic,medium,3180,3470,true
optional,low,1350,1490,false
basic,high,3430,3597,true
optional,high,1190,1215,true
basic,low,3010,3371,true
basic,high,2850,3320,true
optional,low,3320,3740,false
basic,low,1310,1560,false
basic,high,2750,3080,true
optional,medium,1590,2031,false
basic,medium,2490,2705,true
optional,medium,540,652,false
optional,medium,220,234,true
optional,high,1580,2034,false
basic,high,760,948,true
basic,high,1940,2224,true
optional,low,3360,3606,true
optional,low,1220,1559,false
basic,medium,1980,2192,true
basic,low,1180,1472,false
optional,high,1760,2107,false
optional,medium,1940,2119,true
basic,high,840,1192,false
basic,high,1310,1808,false
basic,high,220,433,false
basic,low,3460,3633,true
basic,medium,3190,3550,true
basic,low,2930,3375,false
optional,medium,810,824,true
optional,medium,2330,2532,true
basic,low,3000,3288,true
optional,medium,3410,3899,false
basic,high,20,407,false
basic,high,1530,1660,true
basic,low,180,193,true
optional,low,3110,3125,true
optional,low,1290,1344,true
basic,high,2230,2367,true
basic,low,3090,3165,true
basic,high,2590,2891,true
basic,medium,2170,2558,true
optional,high,2830,3242,true
optional,low,320,818,false
optional,medium,1940,2316,false
optional,medium,1890,2143,false
basic,high,450,648,false
basic,medium,1830,2181,false
basic,medium,440,865,false
basic,low,1880,2315,false
basic,low,3260,3501,true
basic,high,2120,2471,true
optional,low,1800,1870,true
basic,high,2330,2374,true
basic,high,1410,1622,true
basic,low,1170,1483,false
basic,high,2080,2472,true
optional,medium,410,723,false
basic,low,2930,2983,true
optional,low,1160,1169,true
basic,high,70,74,true
basic,low,30,67,false
optional,medium,1140,1425,false
optional,high,2090,2245,true
basic,medium,640,759,false
optional,high,1550,1725,true
optional,medium,1020,1116,true
basic,high,1520,1730,true
optional,low,1660,1954,false
basic,low,260,517,false
basic,high,2030,2145,true
optional,high,1200,1693,false
optional,low,2090,2309,false
optional,high,1750,1793,true
basic,medium,130,171,false
optional,high,1070,1276,false
basic,high,1820,2195,true
basic,medium,410,617,false
optional,medium,1460,1929,false
basic,high,2960,3160,true
optional,low,1490,1575,true
optional,low,2520,2851,false
optional,medium,1890,1943,true
basic,medium,2020,2157,true
optional,low,2030,2492,false
basic,high,240,495,false
optional,low,1930,2074,true
basic,low,2120,2126,true
basic,low,3490,3604,true
optional,high,1400,1443,true
basic,low,2330,2536,true
basic,high,2900,2946,true
optional,high,1920,1931,true
basic,medium,110,332,false
basic,medium,710,732,true
basic,medium,2170,2363,true
basic,low,2290,2482,true
basic,medium,1980,2338,false
basic,low,1650,2006,false
optional,medium,2970,3355,false
basic,high,690,969,false
basic,low,230,483,false
optional,high,1850,1883,true
basic,medium,40,97,false
basic,high,1350,1651,true
basic,medium,1100,1323,false
optional,medium,2270,2529,true
optional,medium,2630,3034,false
basic,high,3280,3557,true
basic,high,1510,1587,true
optional,medium,1010,1266,false
optional,medium,1570,2055,false
basic,low,3380,3421,true
optional,medium,2220,2443,true
basic,high,1830,2120,true
optional,low,3140,3435,true
basic,medium,290,536,false
basic,low,3210,3373,true
optional,low,1820,2068,false
optional,high,2060,2196,true
basic,medium,740,836,true
basic,low,2000,2120,true
optional,low,530,737,false
optional,low,1940,2437,false
optional,low,380,702,false
basic,low,1850,2146,false
optional,high,1760,1808,true
optional,medium,1460,1816,false
basic,high,990,1269,false
optional,medium,2700,2867,true
optional,low,2130,2543,false
optional,low,260,690,false
optional,medium,3000,3189,true
basic,low,1670,2103,false
basic,high,3080,3095,true
basic,low,1050,1068,true
optional,low,2650,2916,false
optional,low,3280,3546,true
optional,medium,3130,3526,false
basic,medium,210,316,false
basic,medium,2290,2518,true
basic,medium,600,905,false
basic,high,1700,1994,true
basic,low,1660,1782,true
basic,low,1870,1915,true
basic,low,280,409,false
optional,medium,810,1000,false
optional,medium,1130,1450,false
optional,high,60,330,false
optional,low,1720,1894,false
basic,low,2930,3409,false
optional,medium,2440,2542,true
optional,low,2230,2643,false
optional,low,1630,1903,false
optional,low,300,629,false
basic,high,1220,1649,false
optional,low,2130,2572,false
basic,high,2280,2708,true
optional,high,2540,2805,true
optional,medium,1240,1657,false
basic,low,2960,3250,true
basic,low,2440,2820,false
optional,low,1360,1849,false
optional,medium,3080,3548,false
basic,high,30,162,false
optional,low,270,592,false
optional,medium,2390,2564,true
basic,medium,2710,2923,true
basic,low,1310,1607,false
basic,low,150,293,false
optional,high,1870,2012,true
optional,medium,220,228,true
optional,high,2180,2524,true
basic,medium,260,626,false
optional,medium,2520,2905,false
basic,low,3200,3228,true
basic,low,3340,3385,true
basic,medium,3490,3818,true
optional,low,490,670,false
optional,low,2570,2846,false
basic,high,1070,1090,true
optional,low,3150,3166,true
optional,high,810,974,false
basic,low,1760,2196,false
optional,high,2810,3307,true
basic,low,1000,1252,false
basic,high,2150,2160,true
optional,high,2930,2972,true
optional,low,2620,2774,true
basic,medium,2170,2651,false
optional,low,320,806,false
optional,high,1240,1738,false
basic,high,300,706,false
basic,high,1510,1756,true
basic,low,1290,1409,true
optional,low,1140,1197,true
optional,low,3140,3461,false
optional,low,1980,2102,true
basic,medium,460,639,false
basic,low,2950,3428,false
basic,high,3190,3488,true
basic,medium,2120,2368,true
basic,low,3370,3647,true
basic,medium,2950,3354,true
optional,low,2920,3382,false
basic,medium,2450,2505,true
optional,high,2090,2534,false
optional,high,2420,2919,false
optional,medium,1080,1376,false
optional,medium,3360,3729,true
basic,high,1530,1681,true
basic,low,1020,1103,true
basic,high,0,90,false
optional,medium,2590,2823,true
optional,medium,590,706,false
optional,medium,3150,3629,false
basic,high,2410,2577,true
optional,high,2410,2690,true
optional,medium,3240,3658,false
optional,high,530,741,false
optional,high,860,971,true
optional,low,2590,2748,true
optional,medium,1780,1817,true
optional,low,3460,3924,false
optional,high,2400,2683,true
optional,low,3050,3140,true
optional,low,600,906,false
optional,high,2500,2764,true
basic,medium,1730,1882,true
basic,medium,770,1157,false
basic,medium,2870,3185,true
basic,low,2820,3105,true
optional,medium,2770,2779,true
basic,high,210,620,false
optional,medium,1130,1283,false
optional,medium,2460,2632,true
optional,medium,750,1202,false
basic,low,970,1286,false
basic,medium,980,1225,false
basic,medium,540,694,false
basic,low,2460,2920,false
optional,high,810,1271,false
basic,medium,10,395,false
optional,medium,1180,1368,false
basic,low,520,701,false
optional,low,940,1161,false
basic,high,790,803,true
basic,low,1120,1610,false
optional,high,3330,3398,true
basic,medium,1270,1735,false
basic,high,2880,2911,true
optional,low,20,512,false
optional,low,2870,3141,true
optional,high,1670,1981,false
optional,low,1210,1372,false
optional,medium,3420,3839,false
basic,high,3460,3593,true
optional,low,2240,2523,false
optional,low,1860,2132,false
optional,high,1260,1429,true
optional,medium,3480,3774,true
basic,high,660,972,false
basic,medium,2710,3114,true
optional,medium,1650,1774,true
optional,low,3380,3456,true
optional,high,2370,2832,false
basic,high,1860,1899,true
optional,low,2170,2308,true
basic,low,3160,3314,true
optional,high,3220,3440,true
basic,high,3360,3676,true
basic,medium,2980,3363,true
basic,medium,1670,1719,true
optional,high,280,340,false
optional,high,3400,3763,true
basic,medium,1550,1791,true
basic,low,1490,1674,true
optional,low,2030,2497,false
basic,medium,3100,3341,true
optional,low,2730,2935,true
basic,medium,580,1000,false
basic,low,3450,3678,true
basic,high,1750,1893,true
optional,medium,2260,2437,true
basic,medium,1330,1599,false
basic,medium,1520,1676,true
basic,medium,1650,2059,false
optional,low,3150,3368,true
optional,low,1050,1142,true
basic,high,2680,3145,true
optional,medium,3440,3933,false
basic,medium,210,383,false
basic,medium,620,653,true
basic,low,1010,1050,true
basic,medium,80,389,false
optional,low,100,122,false
basic,high,1680,1786,true
basic,high,110,114,true
basic,medium,3390,3837,true
optional,high,2250,2494,true
optional,low,2630,2770,true
basic,high,200,282,false
optional,high,2400,2886,false
basic,medium,1090,1113,true
optional,low,3250,3467,true
optional,medium,2350,2646,false
optional,low,2700,2991,false
optional,low,2600,2858,true
basic,medium,1490,1749,true
optional,low,2850,3032,true
optional,low,2770,3239,false
optional,medium,2260,2367,true
basic,medium,440,894,false
optional,medium,2480,2855,false
optional,high,1920,2208,true
basic,medium,130,177,false
basic,low,250,342,false
basic,high,1400,1483,true
optional,medium,2560,2831,true
basic,medium,720,843,true
basic,low,890,952,true
basic,low,800,1291,false
optional,low,3150,3328,true
basic,medium,260,369,false
optional,high,1780,2008,true
basic,low,1860,2128,true
basic,low,1680,1684,true
optional,medium,1320,1579,false
optional,high,50,415,false
basic,high,2780,2893,true
basic,high,580,784,false
optional,high,1580,1613,true
basic,low,430,882,false
basic,high,2290,2649,true
optional,medium,2800,3259,false
basic,low,2530,2733,true
optional,medium,290,452,false
basic,low,2450,2622,true
optional,medium,410,703,false
optional,low,2710,3055,false
basic,medium,2660,2783,true
optional,low,1820,2084,false
optional,high,650,926,false
basic,medium,1240,1634,false
basic,high,2560,2734,true
optional,high,1780,1813,true
optional,high,1590,1766,true
basic,medium,2380,2530,true
basic,high,940,992,true
optional,low,1010,1104,true
optional,high,960,1376,false
optional,low,180,195,true
basic,high,1790,2211,true
optional,high,70,559,false
optional,medium,3210,3355,true
optional,medium,2740,3200,false
optional,high,2290,2566,true
optional,low,80,415,false
basic,low,1870,2013,true
optional,medium,1410,1909,false
optional,medium,3390,3716,true
basic,high,1520,1655,true
basic,medium,1680,2142,false
optional,low,2050,2531,false
basic,high,2300,2732,true
basic,low,2190,2449,true
basic,medium,2210,2379,true
optional,low,3370,3491,true
optional,medium,1390,1637,false
optional,high,2180,2227,true
basic,high,2270,2325,true
optional,low,520,649,false
optional,low,1420,1536,true
basic,medium,2100,2404,true
basic,medium,3480,3670,true
optional,medium,90,121,false
optional,low,1340,1644,false
basic,high,2910,3184,true
optional,high,840,1263,false
basic,medium,2200,2688,false
basic,high,2920,3387,true
optional,low,1670,1941,false
optional,medium,1180,1372,false
optional,medium,770,1134,false
basic,high,760,1003,false
basic,medium,70,307,false
basic,medium,320,423,false
basic,medium,1600,1741,true
optional,medium,780,786,true
optional,low,2510,2987,false
basic,high,1310,1679,false
basic,high,150,376,false
optional,low,2990,3187,true
optional,low,2160,2183,true
basic,medium,2910,3251,true
basic,high,2060,2327,true
optional,low,2040,2161,true
optional,medium,2670,2753,true
basic,low,820,913,true
basic,high,2850,3115,true
basic,low,1350,1355,true
optional,low,2630,2966,false
basic,medium,3010,3055,true
optional,high,2520,2648,true
optional,medium,1140,1388,false
basic,low,3170,3557,true
optional,low,620,992,false
basic,high,1430,1830,false
basic,low,510,914,false
optional,high,1480,1628,true
basic,medium,1480,1523,true
basic,high,3320,3533,true
optional,high,2490,2793,true
basic,medium,1330,1738,false
optional,high,1350,1358,true
basic,medium,960,1368,false
basic,medium,330,793,false
optional,high,3190,3572,true
basic,low,2530,2730,true
optional,medium,1010,1247,false
basic,high,1530,1943,false
optional,high,1820,1840,true
basic,low,2800,3045,true
optional,high,1500,1630,true
optional,low,2250,2721,false
basic,medium,740,1153,false
basic,high,430,864,false
basic,high,1050,1500,false
optional,low,2540,2809,false
optional,high,660,720,true
basic,high,1600,1814,true
optional,medium,1020,1405,false
optional,high,250,587,false
basic,low,1140,1557,false
basic,high,1830,2141,true
optional,high,280,551,false
optional,high,1660,1704,true
basic,low,2290,2664,false
optional,low,2290,2619,false
optional,low,1350,1481,true
basic,low,1070,1480,false
optional,low,1720,2054,false
basic,medium,3010,3082,true
basic,medium,3340,3459,true
optional,high,3090,3306,true
basic,low,3030,3492,false
optional,high,370,686,false
basic,medium,2100,2509,false
optional,low,400,704,false
optional,medium,2990,3314,true
basic,high,180,197,true
optional,medium,3280,3451,true
optional,high,2580,2845,true
basic,medium,1560,1890,false
optional,high,3250,3727,true
basic,low,2520,2969,false
optional,high,1910,2054,true
optional,high,1590,1971,false
optional,high,3150,3296,true
basic,low,2140,2435,true
optional,high,1000,1411,false
basic,medium,460,956,false
basic,medium,1620,1706,true
optional,medium,640,1118,false
basic,high,1490,1819,true
optional,low,2210,2363,true
basic,medium,1910,1940,true
basic,high,1940,2303,true
basic,low,2530,2716,true
optional,low,670,993,false
optional,medium,3300,3709,false
basic,high,1930,2060,true
optional,high,590,835,false
optional,high,2220,2450,true
optional,high,3190,3553,true
basic,medium,170,245,false
optional,medium,210,372,false
basic,medium,520,989,false
optional,medium,1680,1889,false
optional,low,3350,3464,true
optional,low,1580,1684,true
basic,low,2960,3401,true
basic,high,1020,1491,false
basic,high,10,282,false
optional,low,2900,3122,true
basic,low,1950,2340,false
basic,low,3120,3395,true
basic,medium,3280,3420,true
basic,medium,2690,2924,true
basic,medium,3200,3552,true
basic,high,3130,3409,true
basic,high,1550,1998,false
basic,high,3220,3427,true
basic,low,2870,3152,true
basic,low,2790,3223,false
optional,high,1370,1436,true
optional,low,1880,2084,false
basic,medium,2060,2512,false
optional,high,2120,2482,true
basic,medium,90,109,false
basic,high,1780,1781,true
basic,medium,2890,3108,true
optional,medium,850,911,true
optional,high,1550,1868,false
basic,low,80,352,false
basic,low,1510,1798,false
basic,high,330,553,false
basic,low,220,437,false
basic,high,1780,2226,false
optional,low,2950,3035,true
basic,medium,660,1104,false
basic,medium,3250,3368,true
optional,high,1180,1298,true
basic,high,3010,3465,true
basic,high,130,242,false
optional,medium,2390,2438,true
optional,low,3450,3851,false
basic,low,2040,2402,false
basic,medium,3160,3528,true
optional,medium,1840,1936,true
basic,medium,1160,1304,true
optional,medium,2700,2804,true
basic,medium,2060,2274,true
optional,low,2020,2049,true
basic,high,840,1320,false
optional,low,2890,3239,false
basic,high,3260,3363,true
optional,high,3010,3145,true
basic,high,120,449,false
optional,high,1070,1545,false
optional,medium,740,899,false
optional,medium,3290,3598,true
basic,medium,2490,2738,true
basic,medium,3030,3260,true
optional,high,1140,1246,true
basic,medium,1490,1959,false
optional,medium,2380,2521,true
basic,low,110,305,false
basic,high,160,451,false
basic,medium,2860,3026,true
basic,medium,3320,3378,true
basic,low,3060,3270,true
basic,high,1410,1500,true
basic,low,510,795,false
basic,low,2040,2265,true
basic,low,3490,3885,true
optional,high,500,821,false
basic,low,120,464,false
optional,high,390,604,false
optional,medium,2690,2843,true
basic,low,1050,1456,false
basic,low,2510,2897,false
basic,low,1310,1746,false
basic,low,3030,3304,true
basic,low,1540,1939,false
optional,high,2840,3204,true
optional,medium,2710,2993,true
optional,medium,2720,3030,true
basic,low,3090,3361,true
optional,high,1140,1209,true
basic,medium,1910,2177,true
basic,high,2940,3052,true
basic,medium,800,868,true
optional,medium,3410,3536,true
basic,high,3140,3226,true
basic,medium,20,515,false
optional,medium,2570,2929,false
basic,high,1330,1798,false
optional,medium,380,482,false
optional,high,1200,1546,false
optional,medium,2540,2835,true
basic,high,2540,2921,true
optional,low,2870,2926,true
optional,medium,1700,1754,true
basic,low,3130,3389,true
basic,low,470,521,true
optional,medium,2220,2414,true
